['\n', '\n'], 285632
['\n', '.'], 174776
['the', 'of'], 101113
['s', "'"], 91601
['and', ','], 82495
['The', '.'], 72148
['the', 'in'], 63577
['the', 'to'], 53160
['the', ','], 53117
['', '2'], 45419
['', '1'], 44771
['the', 'and'], 43047
['0', '2'], 40997
['\n', 'The'], 37661
['s', '’'], 37147
['0', '1'], 36563
['0', '0'], 35119
['a', 'is'], 32093
['the', 'that'], 30263
['It', '.'], 27952
['the', 'for'], 27801
['to', 'be'], 26412
['it', ','], 25317
['a', 'of'], 25176
['the', 'on'], 24547
['', '0'], 23929
['the', '.'], 22737
['but', ','], 21753
['a', 'to'], 21472
['1', '2'], 20529
['which', ','], 19615
['has', 'been'], 18973
['a', ','], 18260
['----------------', '----------------'], 17580
[',', '0'], 17502
['the', 'with'], 16696
['', ','], 15692
['be', 'will'], 15058
['.', '1'], 14948
['a', 'and'], 14920
['to', 'and'], 14825
['', '3'], 14522
['a', 'in'], 14498
['1', '9'], 13913
['with', ','], 13667
['He', '.'], 13545
['It', "'"], 13536
['the', 'is'], 12866
['as', ','], 12793
['to', 'is'], 12725
['\n', '"'], 12414
['the', 'at'], 12299
['a', 'for'], 12229
['including', ','], 12228
['I', '.'], 12146
['the', 'about'], 12066
['is', 'it'], 11834
['', '5'], 11833
['in', ''], 11703
['it', "'"], 11673
['is', ','], 11580
['.', ','], 11503
['a', 'with'], 11227
['to', 'important'], 11182
['a', 'as'], 11120
['said', '.'], 11060
['This', '.'], 11002
['The', '.'], 10839
['.', '0'], 10793
['', '4'], 10723
['\n', '."'], 10682
['0', '5'], 10628
['.', '2'], 10603
['the', 'by'], 10538
['.', 'S'], 10463
['the', 'from'], 10263
['\n', 'In'], 10154
['', '.'], 10007
['to', 'have'], 9847
['a', 's'], 9795
['is', 'that'], 9788
['and', 'that'], 9602
['', '9'], 9533
[',', '1'], 9499
['0', '3'], 9492
['is', 'It'], 9403
['to', 's'], 9274
['and', 'it'], 9197
['-', '1'], 9074
['\n', 'It'], 8967
['of', 'and'], 8932
['and', '.'], 8790
['"', '.'], 8762
['1', '5'], 8758
['a', 'be'], 8756
['as', 'well'], 8686
['.', '5'], 8635
['have', 'been'], 8523
['a', 'was'], 8522
['', '7'], 8520
['to', ','], 8518
['m', '.'], 8514
['who', ','], 8485
['However', ','], 8468
['They', '.'], 8455
['a', 'has'], 8450
['.', '3'], 8449
['in', ','], 8411
['\n', '“'], 8375
['However', '.'], 8314
['a', 'have'], 8307
['It', 's'], 8268
['it', 's'], 8235
['1', '8'], 8210
['to', 'that'], 8171
['is', 'not'], 8131
['is', '.'], 8127
['the', ''], 8124
['of', ','], 8120
['', '6'], 8083
['\n', ':'], 8076
['\n', '*'], 8013
['.', "'"], 7970
['1', '1'], 7965
['to', 'see'], 7956
['as', 'such'], 7955
[',', '2'], 7818
['\n', 'I'], 7722
['t', "'"], 7673
['<s>', 'The'], 7607
['-', '-'], 7603
['to', 'make'], 7469
['1', '3'], 7435
['has', ','], 7425
['-', '0'], 7404
[',', ','], 7391
['We', '.'], 7359
['to', 'continue'], 7329
['.', '4'], 7243
['the', 'as'], 7212
['to', 'able'], 7117
['re', "'"], 7110
['important', 's'], 7078
['of', ''], 7066
['.', '.'], 7065
['I', ','], 7056
['1', '6'], 7036
['', '8'], 6997
['be', 'can'], 6974
['1', '4'], 6960
['1', '7'], 6886
['-', '2'], 6863
['0', '8'], 6861
['is', 'important'], 6852
['to', 'need'], 6687
['and', 'is'], 6624
['0', '4'], 6596
['is', 'also'], 6575
['the', 'world'], 6548
['he', 'said'], 6522
['that', 'it'], 6488
['0', '9'], 6468
['the', "'"], 6441
['s', ','], 6419
['to', 'their'], 6391
['.', '7'], 6309
['a', 'new'], 6210
['in', 'and'], 6135
['he', ','], 6033
['a', 'great'], 6013
['and', 'their'], 5963
['they', ','], 5947
['that', ','], 5941
['\n', '1'], 5937
['a', '.'], 5913
['s', '.'], 5871
['a', 'that'], 5834
['.', '6'], 5827
['a', ''], 5791
['0', '6'], 5789
['0', '7'], 5783
['of', '.'], 5763
['to', '.'], 5746
['and', 'has'], 5721
['a', 'on'], 5720
['\n', 'Over'], 5669
['and', 's'], 5659
['to', 'it'], 5637
['U', '.'], 5631
['\n', '.”'], 5627
['you', ','], 5621
['to', ''], 5608
['.', '9'], 5587
['it', '.'], 5479
['2', '5'], 5421
['and', 'other'], 5396
['a', '-'], 5383
['that', 'he'], 5367
['in', 'to'], 5326
['we', ','], 5305
['is', 'This'], 5290
['.', '8'], 5288
['to', 'help'], 5253
['has', 'also'], 5237
['\n', '?'], 5215
