['\n', '\n', '\n'], 76798
['\n', '\n', '.'], 18629
['', '0', '2'], 12411
['\n', 'The', '.'], 10236
['0', '1', '2'], 9800
['It', 's', "'"], 6747
['----------------', '----------------', '----------------'], 5841
['it', 's', "'"], 5716
[',', '0', '0'], 5022
['It', '.', "'"], 4748
['\n', '.', '"'], 4607
['the', 'and', ','], 4181
['However', '.', ','], 4151
['\n', '\n', 'The'], 4056
['0', '0', '2'], 4009
['', '1', '9'], 3897
['', '0', '1'], 3863
['is', 'It', '.'], 3854
['0', '0', '0'], 3581
['\n', '.', '“'], 3537
['in', '', '2'], 3144
['and', 'it', ','], 3053
['', ',', '2'], 3036
['important', 's', "'"], 2815
['\n', 'In', '.'], 2739
['to', 'important', 's'], 2532
['', '1', '2'], 2524
['U', '.', 'S'], 2460
['it', ',', "'"], 2459
['it', 'but', ','], 2450
['\n', 'said', '.'], 2419
['.', '.', 'S'], 2370
['a', 's', "'"], 2364
['is', 'it', ','], 2339
['\n', 'It', '.'], 2277
['it', 's', '’'], 2248
['\n', 'all', 'Over'], 2198
['all', 'Over', ','], 2198
['', ',', '1'], 2185
['0', '0', '1'], 2150
['It', 's', "'"], 2144
['a', 'of', 'lot'], 2062
['as', 'such', ','], 2059
['as', 'as', 'well'], 1982
['to', 'is', 'important'], 1959
['is', 'which', ','], 1957
['as', 'well', ','], 1870
['\n', '.', '2'], 1869
['m', '.', '.'], 1853
['and', 'that', ','], 1787
['\n', '\n', '---'], 1784
['also', 's', "'"], 1767
['to', 'be', 'able'], 1760
['he', 'said', '.'], 1749
['\n', '.', '3'], 1742
['the', 'of', 'importance'], 1689
['\n', '.', '1'], 1680
['a', 'to', 'be'], 1672
['', '.', '1'], 1644
['"', 'said', '.'], 1643
['://', 'www', '.'], 1617
['\n', '.', '4'], 1614
['the', 'United', 'States'], 1600
['', '1', '1'], 1592
['\n', '.', 'I'], 1584
['0', '1', '8'], 1550
['a', 's', '’'], 1533
['<s>', 'It', "'"], 1514
['to', 'that', 'note'], 1505
['\n', '\n', ':'], 1500
['the', '', '2'], 1486
['p', 'm', '.'], 1475
['I', 'm', "'"], 1471
['in', '', '1'], 1463
['', '1', '5'], 1449
['\n', '.', '5'], 1440
['Additionally', '.', ','], 1429
['the', 'of', 'one'], 1416
['It', 's', '’'], 1407
['is', 'It', 'important'], 1399
['0', '/', '2'], 1391
['', '1', '3'], 1388
['to', 'important', 'note'], 1370
['com', '.', '/'], 1367
['\n', 'is', 'It'], 1325
['', '0', '3'], 1321
['re', 'you', "'"], 1320
['to', 'is', 'expected'], 1312
['not', 's', "'"], 1312
['a', 'is', 'This'], 1311
['0', '1', '9'], 1310
['It', '.', '’'], 1307
['the', 'U', '.'], 1304
['0', '1', '6'], 1291
['to', 'that', 'ensure'], 1281
['0', '1', '5'], 1279
['\n', '\n', 'In'], 1251
['\n', '.', '*'], 1233
['\n', 'I', '"'], 1225
['It', 's', '’'], 1215
['great', 's', "'"], 1206
['0', '0', '5'], 1204
['\n', '\n', 'Over'], 1183
['', '1', '8'], 1182
['the', 'including', ','], 1175
['the', '', '1'], 1175
['0', '2', '2'], 1163
['0', '1', '7'], 1162
['', '1', '4'], 1157
['and', 'I', ','], 1154
['don', 't', "'"], 1153
['is', 'it', 'important'], 1153
['', '.', '2'], 1147
['a', 'and', ','], 1120
['\n', 'We', '"'], 1117
['The', 'company', '.'], 1110
['-', '1', '2'], 1109
['', '2', '5'], 1100
['it', 'However', ','], 1096
['is', 'This', '.'], 1092
['', '0', '5'], 1082
['the', 'but', ','], 1081
['\n', 'Source', ':'], 1076
['the', 'of', 'end'], 1067
['-', '0', '1'], 1067
['to', 'great', 's'], 1064
['he', 'said', ',"'], 1063
['', '1', '6'], 1056
['the', 'that', 'fact'], 1050
['1', '9', '9'], 1049
['.', '1', '2'], 1044
['.', '0', '1'], 1036
['a', 'of', 'variety'], 1035
[',', '0', '5'], 1026
['<s>', 'is', 'This'], 1022
['to', 'important', 'remember'], 1022
['was', 'He', '.'], 1015
['to', 'that', 'remember'], 1011
['a', 'has', 'been'], 1010
['\n', 'It', "'"], 1004
['', '1', '7'], 1002
['a', 'is', 'great'], 991
['-', '0', '2'], 986
['and', 'it', "'"], 977
['the', 'However', ','], 975
[',', '0', '1'], 972
['Overall', '.', ','], 967
['0', '1', '4'], 962
['\n', '.', '6'], 959
['\n', 'Over', '.'], 956
['don', 't', '’'], 955
['0', '1', '3'], 955
['you', 'If', '.'], 944
['the', 'in', 'world'], 943
['the', 'with', ','], 943
['and', 'we', ','], 938
['the', 'of', 'use'], 937
['0', '1', '1'], 937
['company', 's', "'"], 931
['to', 'will', 'continue'], 930
['the', 'of', 'most'], 921
['I', 'm', '’'], 920
['The', 'article', '.'], 918
['of', '', '1'], 909
['the', 'of', 'some'], 905
['\n', 'We', '“'], 900
['that', 's', "'"], 898
['\n', '\n', 'It'], 897
['has', 'which', ','], 894
['\n', 'the', 'In'], 891
['', '2', '4'], 891
['He', 'has', '.'], 887
['', '2', '3'], 865
['to', 'how', 'see'], 863
['the', 'all', ','], 863
['and', 'they', ','], 857
['the', 'in', 'future'], 854
['\n', 'I', '“'], 854
['the', 'on', 'impact'], 847
['to', 'that', 'hear'], 846
['to', '', '1'], 845
['the', 'for', 'need'], 845
['and', 'he', ','], 843
['to', 'and', ','], 841
['a', 'with', ','], 840
['\n', '."', 'The'], 838
['', ',', '3'], 831
['.', '1', '5'], 830
['of', '', '2'], 829
['"', 'We', '.'], 823
['is', 'that', 'it'], 821
['the', 'of', 'part'], 817
['to', 'also', 'important'], 815
['', '.', '7'], 814
['the', 'world', '.'], 808
['\n', '.', '7'], 808
['and', 'is', 'it'], 807
['"', '.', 'I'], 806
['to', '-', '-'], 803
['a', 'to', 'create'], 802
['\n', 'But', '.'], 800
['0', '0', '8'], 799
['said', '“', '.'], 799
['the', 'and', 'that'], 798
['that', 'worth', 'noting'], 797
['he', 's', "'"], 796
['\n', '.', 'A'], 784
['.', '1', '3'], 784
['1', '9', '8'], 784
['\n', '.', '8'], 783
['more', 'than', ''], 779
['It', 'like', 'sounds'], 777
['is', 'for', 'important'], 775
['\n', '\n', '1'], 775
['the', 'in', ''], 774
['::', '::', '::'], 773
['<s>', 'is', 'It'], 772
['a', 'to', 'have'], 756
['are', 'They', '.'], 754
['I', '.', "'"], 752
['a', 'of', 'part'], 751
['a', '', '1'], 749
['the', 'of', 'future'], 748
['not', 's', '’'], 747
['\n', 'As', '.'], 744
['', '0', '4'], 742
['a', 'm', '.'], 741
[',', '1', '2'], 739
['you', 'can', ','], 733
['a', 'for', 'looking'], 727
['0', '0', '3'], 727
['.', '1', '8'], 723
['it', 'as', ','], 721
['the', 'to', 'address'], 720
['I', 'think', '.'], 720
['\n', '\n', '#'], 718
['??', '??', '??'], 718
['\n', '\n', 'Source'], 714
['that', 's', '’'], 713
[',', '0', '2'], 710
['', ',', '4'], 709
['year', '-', '-'], 708
['the', 'of', 'impact'], 708
['.', '0', '0'], 708
['ese', 'ese', 'ese'], 708
['the', 'in', 'country'], 706
['the', 'in', 'region'], 700
['he', 'said', ',”'], 699
['\n', 'The', '"'], 699
['.', '1', '4'], 695
['.', '1', '6'], 695
['\n', 'This', '.'], 693
['0', '1', '/'], 693
['was', 'which', ','], 690
['the', 'of', 'world'], 687
['<s>', 'It', 'sounds'], 682
['and', '', '1'], 682
['', '2', '2'], 681
['and', 'other', ','], 678
['.', '1', '1'], 675
['\n', 'It', '"'], 675
['In', 'conclusion', ','], 674
['.', '1', '7'], 674
['\n', 'In', 'conclusion'], 673
['old', 'year', '-'], 668
['', ',', '5'], 666
['but', 'they', ','], 665
['a', 'to', 'way'], 664
['a', 'of', 'number'], 664
['He', 'also', '.'], 663
['\n', '\n', '0'], 663
['0', '0', '9'], 662
['.', '0', '2'], 662
['in', 'to', 'order'], 661
['I', 'but', ','], 661
['-', '0', '0'], 657
['0', '0', '4'], 652
['\n', 'you', 'If'], 650
['\n', 'it', '.'], 650
['a', '', '2'], 645
['to', 'be', 'used'], 644
['\n', '.', '9'], 644
['', '.', '3'], 643
['the', 'while', ','], 641
['"', 'It', '.'], 641
['a', 'to', 'make'], 641
['to', 'see', 'great'], 638
['<s>', 'The', 'article'], 637
['0', ':', '3'], 637
['.', '0', '3'], 637
['be', 'not', 'may'], 633
['m', 'I', "'"], 632
['to', 'be', 'going'], 630
[',', '1', '5'], 628
['a', 'is', 'also'], 628
['a', 'is', 'It'], 627
['to', 'see', 'interesting'], 626
['are', 'there', ','], 625
['was', 'It', '.'], 621
['can', 't', "'"], 621
['\n', '\n', '."'], 621
['he', 'but', ','], 620
['has', 'been', ','], 619
['long', 'term', '-'], 617
['is', 'it', 'but'], 616
['a', 'be', 'will'], 616
['she', 'said', '.'], 615
['the', 'of', 'development'], 613
['the', 'of', 'number'], 613
['the', 'around', 'world'], 613
['the', 'that', 'said'], 611
['\n', '\n', '*'], 611
['to', 'according', ','], 611
['\n', 'However', ','], 611
['\n', '\n', 'I'], 607
['is', 'He', '.'], 602
['\n', 'If', '.'], 600
['', '2', '7'], 600
['and', '', '2'], 599
['', '2', '6'], 597
['re', 'to', 'going'], 597
['has', 'been', 'also'], 596
['\n', '\n', '\r'], 594
['1', '9', '7'], 593
['a', 'of', 'range'], 592
['\n', '."', '"'], 592
['That', 's', "'"], 590
['re', 'we', "'"], 589
['to', 'be', 'need'], 587
['', ',', '7'], 586
['the', 'country', '.'], 585
['the', 'company', "'"], 585
['re', 'you', '’'], 584
['to', 'great', 'hear'], 582
['-', '1', '3'], 581
['that', 'are', 'they'], 581
['at', '', '1'], 579
['\n', '.', 'M'], 579
['a', 'is', 'not'], 578
['-', '1', '1'], 578
['to', 'test', 'ament'], 578
['the', 'of', 'role'], 577
['', '2', '8'], 577
['the', 'that', 'note'], 575
['it', 'but', "'"], 575
['the', 'in', 'United'], 574
['://', 'www', 'https'], 574
['\n', 'It', '“'], 570
['-', '1', '5'], 569
['it', 'making', ','], 566
['\n', 'In', 'addition'], 565
['.', '1', '9'], 562
['0', '0', '7'], 562
['to', '', '2'], 559
['the', 'of', 'rest'], 559
['and', 'has', 'been'], 559
['://', 'https', ':'], 558
['a', 'test', 'ament'], 557
['will', 'which', ','], 557
[',', '1', '3'], 555
['-', '1', '8'], 555
['the', 'in', 'past'], 554
['is', 'It', 'also'], 554
['it', ',', '’'], 554
['the', 'as', 'such'], 554
['to', 'make', 'sure'], 551
['"', 'It', "'"], 549
['to', 'work', 'together'], 549
['has', 'who', ','], 548
['', ',', '6'], 547
['for', 'important', 's'], 547
['I', '.', '’'], 546
['m', 'I', '’'], 544
['a', 'to', 'find'], 543
['be', 'it', 'will'], 539
['the', 'to', 'see'], 537
['0', '0', ':'], 537
['', ',', '9'], 536
['the', 'of', 'University'], 535
['in', 'years', 'recent'], 535
['.', '2', '5'], 534
[',', '0', '3'], 531
['and', 'has', ','], 530
['.', '0', '5'], 529
['was', 'who', ','], 525
['the', 'In', '.'], 525
['\n', 'There', '.'], 523
['have', 'They', '.'], 523
['to', 'been', 'able'], 522
['\n', '.', 'B'], 522
['the', 'of', 'cost'], 522
['1', '/', '2'], 520
['\n', '.', '0'], 517
['re', 'We', "'"], 516
['the', 'Additionally', ','], 515
['re', 'they', "'"], 514
[',', '1', '8'], 514
['-', '1', '4'], 511
['the', 'to', 'opportunity'], 510
['is', 'it', 'not'], 510
['is', 'also', 'important'], 510
['the', 'of', ''], 510
['0', '0', '6'], 509
['', ',', '8'], 509
['the', 'of', 'people'], 508
['the', 'about', 'concerns'], 507
['It', 'also', '.'], 506
['It', '"', "'"], 505
['', '3', '5'], 501
['and', 'there', ','], 500
['$', '0', '1'], 500
['the', 'es', 'discuss'], 500
['the', 'of', 'issue'], 499
['will', 'It', '.'], 498
['for', 'you', 'Thank'], 498
['\n', '.', 'S'], 498
['that', 'clear', 's'], 497
['always', 's', "'"], 492
['a', 'including', ','], 491
['also', 'important', 's'], 490
['to', 'that', 'see'], 490
['can', 'which', ','], 488
['', '2', '9'], 484
['-', '1', '6'], 484
['the', 'that', 'ensure'], 481
['\n', 'It', '’'], 480
['a', 'is', 'there'], 479
['the', 'in', 'area'], 477
['\n', 'The', '.”'], 477
['the', 'future', '.'], 477
['to', 'to', 'continue'], 476
['\n', 's', '.'], 475
['he', 's', '’'], 474
['1', '1', '/'], 472
['the', 'to', 'due'], 471
['“', '.', 'I'], 471
['', '.', '0'], 471
['1', '9', '6'], 471
['the', 'of', 'needs'], 471
['to', 'we', 'need'], 470
['\n', 'Des', 'pite'], 469
[',', '1', '6'], 469
['<s>', 'It', 'seems'], 468
['doesn', 't', "'"], 468
['-', '0', '3'], 466
['', '-', '3'], 465
['\n', 'He', '.'], 465
['country', 's', "'"], 464
['\n', '\n', '?'], 463
['to', 'be', 'expected'], 460
['', '-', '2'], 459
['a', 'is', 'very'], 459
['a', 'be', 'can'], 459
['-', '1', '7'], 456
['to', 'is', 'likely'], 456
['\n', 'The', '“'], 455
['the', 'in', 'first'], 454
['the', 'to', 'addition'], 453
['but', 'also', ','], 453
['re', 'we', '’'], 451
['', '0', '8'], 450
['$', '.', '1'], 449
['\n', 'is', 'This'], 448
['to', 'on', 'focus'], 448
['', '-', '1'], 447
['               ', '               ', '               '], 447
['a', 'is', 'significant'], 446
['The', 'government', '.'], 446
['a', 'of', 'sense'], 445
['to', 'with', 'work'], 444
['I', 'it', 'think'], 443
['Source', 'https', ':'], 442
['since', '', '2'], 442
['can', 'You', '.'], 442
['from', '', '1'], 441
['is', 'that', 'there'], 440
['the', 'of', 'member'], 440
['0', '1', ':'], 440
['-', '2', '5'], 439
[',', '1', '7'], 439
['', '.', '5'], 439
['news', '/', '/'], 439
['clear', 's', "'"], 438
['the', 'world', ','], 437
['he', 'says', '.'], 437
['which', 'could', ','], 436
['that', 'has', 'been'], 435
['1', '/', '9'], 435
['I', 've', '’'], 433
['the', 'of', 'state'], 432
['a', 'great', 's'], 431
['p', '.', '0'], 431
['://', 'www', 'https'], 431
[',', '1', '4'], 428
['to', 'In', 'addition'], 426
['team', 's', "'"], 426
['is', 'who', ','], 426
['', '0', '6'], 425
['re', 'they', '’'], 425
['-', '1', '9'], 425
['the', 'region', '.'], 424
['\n', 'them', '.'], 423
['a', 'is', 'it'], 421
['to', 'be', 'interesting'], 421
['government', 's', "'"], 421
['of', 'is', 'one'], 420
['the', 'of', 'power'], 420
['to', 'will', 'need'], 420
['to', 'looking', 'forward'], 418
['', '1', ':'], 418
['The', 'event', '.'], 417
['\n', 'world', '.'], 417
['The', 'also', 'article'], 416
['the', 'time', 'first'], 416
['to', 'it', 'make'], 416
['“', 'We', '.'], 415
['and', 'that', 'it'], 415
['the', 'While', '.'], 415
['to', 'was', 'able'], 415
['to', 'is', 'designed'], 413
[',', '1', '1'], 413
['\n', 'think', 'I'], 413
['a', 'is', 'which'], 412
['that', 'are', 'there'], 410
['We', '.', "'"], 410
['be', 'can', 'used'], 409
['\n', 'We', '.'], 409
['\n', '.', 'C'], 409
['the', 'to', 'support'], 409
['of', '-', '-'], 408
['the', 'to', 'ament'], 408
['\n', 'year', '.'], 408
['to', 'not', 'going'], 408
['a', '', '3'], 407
['the', 'of', 'out'], 406
['<s>', 'That', "'"], 406
['important', 's', '’'], 406
['.', '2', '3'], 406
['has', 'who', 'been'], 405
[',', '1', '9'], 405
[',', '0', '8'], 405
['well', 'being', '-'], 404
['is', 'there', ','], 403
['the', 'of', 'safety'], 403
['to', 'is', 'set'], 402
['ally', 'Fin', ','], 402
['the', 'as', 'well'], 402
['\n', 'So', '.'], 401
['and', 'his', ','], 401
['a', 'is', ','], 401
['and', '-', '-'], 401
['it', 'While', '.'], 400
['have', 'We', '.'], 400
['<s>', 'In', 'summary'], 400
['In', 'summary', ','], 400
['', '0', '7'], 399
['It', '’', '“'], 399
['also', 'worth', 'noting'], 398
['a', 'like', 'sounds'], 398
['\n', 'ally', 'Fin'], 398
['for', 'who', 'those'], 397
['the', 'country', "'"], 397
['a', 'impact', 'significant'], 396
['you', 'have', 'any'], 396
['"', 's', 's'], 396
['be', 'that', 'can'], 395
['decision', 's', "'"], 395
['"', '"', 's'], 395
['the', 'on', 'based'], 394
['://', 'www', 'http'], 394
['\n', '\n', 'This'], 394
['the', 'to', 'make'], 393
['I', 'that', 'think'], 393
['es', 'discuss', 'article'], 392
['For', 'example', ','], 392
['The', 'film', '.'], 391
['a', 'as', 'seen'], 390
['re', 'not', "'"], 390
['.', '9', '9'], 390
['a', '.', '0'], 389
['-', '2', '3'], 389
['\n', '\n', '"'], 389
['', '.', '4'], 388
['and', 's', ','], 388
['It', "'", '!'], 388
['didn', 't', "'"], 387
['For', 'example', '.'], 387
['a', 'is', 'This'], 386
['to', 'According', '.'], 385
[',', '2', '5'], 384
['“', 'It', '.'], 384
['on', 'impact', 'significant'], 383
['the', 'other', 'hand'], 383
['the', 'company', ','], 382
['the', 'as', ','], 382
['will', 'This', '.'], 381
['\n', '\n', 'As'], 380
['can', 't', '’'], 380
['other', 'hand', ','], 379
['has', 'It', '.'], 379
['can', 'This', '.'], 378
['the', 'of', 'idea'], 378
